Tc_full-no_duplicates,Tc_full
2154,3353
2155,3354
2156,3355
2157,3356
2158,3357
2159,3358
2160,3359
2161,3360
2162,3361
2163,3362
2164,3363
2165,3364
2166,3365
2167,3366
2168,3367
2169,3368
2170,3369
2171,3370
2172,3371
2173,3372
2174,3373
2175,3374
2176,3375
2177,3376
2178,3377
2179,3378
2180,3379
2181,3380
2182,3381
2183,3382
2184,3383
2185,3384
2186,3385
2187,3386
2188,3387
2189,3388
2190,3389
2191,3390
2192,3391
2193,3392
2194,3393
2195,3394
2196,3395
2197,3396
2198,3397
2199,3398
2200,3399
2201,3400
2202,3401
2203,3402
2204,3403
2205,3404
2206,3405
2207,3406
2208,3407
2209,3408
2210,3409
2211,3410
2212,3411
2213,3412
2214,3413
2215,3414
2216,3415
2217,3416
2218,3417
2219,3418
2220,3419
2221,3420
2222,3421
2223,3422
2224,3423
2225,3424
2226,3425
2227,3426
2228,3427
2229,3428
2230,3429
2231,3430
2232,3431
2233,3432
2234,3433
2235,3434
2236,3435
2237,3436
2238,3437
2239,3438
2240,3439
2241,3440
2242,3441
2243,3442
2244,3443
2245,3444
2246,3445
2247,3446
2248,3447
2249,3448
2250,3449
2251,3450
2252,3451
2253,3452
2254,3453
2255,3454
2256,3455
2257,3456
2258,3457
2259,3458
2260,3459
2261,3460
2262,3461
2263,3462
2264,3463
2265,3464
2266,3465
2267,3466
2268,3467
2269,3468
2270,3469
2271,3470
2272,3471
2273,3472
2274,3473
2275,3474
2276,3475
2277,3476
2278,3477
2279,3478
2280,3479
2281,3480
2282,3481
2283,3482
2284,3483
2285,3484
2286,3485
2287,3486
2288,3487
2289,3488
2290,3489
2291,3490
2292,3491
2293,3492
2294,3493
2295,3494
2296,3495
2297,3496
2298,3497
2299,3498
2300,3499
2301,3500
2302,3501
2303,3502
2304,3503
2305,3504
2306,3505
2307,3506
2308,3507
2309,3508
2310,3509
2311,3510
2312,3511
2313,3512
2314,3513
2315,3514
2316,3515
2317,3516
2318,3517
2319,3518
2320,3519
2321,3520
2322,3521
2323,3522
2324,3523
2325,3524
2326,3525
2327,3526
2328,3527
2329,3528
2330,3529
2331,3530
2332,3531
2333,3532
2334,3533
2335,3534
2336,3535
2337,3536
2338,3537
2339,3538
2340,3539
2341,3540
2342,3541
2343,3542
2344,3543
2345,3544
2346,3545
2347,3546
2348,3547
2349,3548
2350,3549
2351,3550
2352,3551
2353,3552
2354,3553
2355,3554
2356,3555
2357,3556
2358,3557
2359,3558
2360,3559
2361,3560
2362,3561
2363,3562
2364,3563
2365,3564
2366,3565
2367,3566
2368,3567
2369,3568
2370,3569
2371,3570
2372,3571
2373,3572
2374,3573
2375,3574
2376,3575
2377,3576
2378,3577
2379,3578
2380,3579
2381,3580
2382,3581
2383,3582
2384,3583
2385,3584
2386,3585
2387,3586
2388,3587
2389,3588
2390,3589
2391,3590
2392,3591
2393,3592
2394,3593
2395,3594
2396,3595
2397,3596
2398,3597
2399,3598
2400,3599
2401,3600
2402,3601
2403,3602
2404,3603
2405,3604
2406,3605
2407,3606
2408,3607
2409,3608
2410,3609
2411,3610
2412,3611
2413,3612
2414,3613
2415,3614
2416,3615
2417,3616
2418,3617
2419,3618
2420,3619
2421,3620
2422,3621
2423,3622
2424,3623
2425,3624
2426,3625
2427,3626
2428,3627
2429,3628
2430,3629
2431,3630
2432,3631
2433,3632
2434,3633
2435,3634
2436,3635
2437,3636
2438,3637
2439,3638
2440,3639
2441,3640
2442,3641
2443,3642
2444,3643
2445,3644
2446,3645
2447,3646
2448,3647
2449,3648
2450,3649
2451,3650
2452,3651
2453,3652
2454,3653
2455,3654
2456,3655
2457,3656
2458,3657
2459,3658
2460,3659
2461,3660
2462,3661
2463,3662
2464,3663
2465,3664
2466,3665
2467,3666
2468,3667
2469,3668
2470,3669
2471,3670
2472,3671
2473,3672
2474,3673
2475,3674
2476,3675
2477,3676
2478,3677
2479,3678
2480,3679
2481,3680
2482,3681
2483,3682
2484,3683
2485,3684
2486,3685
2487,3686
2488,3687
2489,3688
2490,3689
2491,3690
2492,3691
2493,3692
2494,3693
2495,3694
2496,3695
2497,3696
2498,3697
2499,3698
2500,3699
2501,3700
2502,3701
2503,3702
2504,3703
2505,3704
2506,3705
2507,3706
2508,3707
2509,3708
2510,3709
2511,3710
2512,3711
2513,3712
2514,3713
2515,3714
2516,3715
2517,3716
2518,3717
2519,3718
2520,3719
2521,3720
2522,3721
2523,3722
2524,3723
2525,3724
2526,3725
2527,3726
2528,3727
2529,3728
2530,3729
2531,3730
2532,3731
2533,3732
2534,3733
2535,3734
2536,3735
2537,3736
2538,3737
2539,3738
2540,3739
2541,3740
2542,3741
2543,3742
2544,3743
2545,3744
2546,3745
2547,3746
2548,3747
2549,3748
2550,3749
2551,3750
2552,3751
2553,3752
2554,3753
2555,3754
2556,3755
2557,3756
2558,3757
2559,3758
2560,3759
2561,3760
2562,3761
2563,3762
2564,3763
2565,3764
